n,cycles,latency_ns,latency_us,sum,sum_error,done,idle,ready,busy
2,686,8146.25003054844,8.14625003054844,0.870407104492188,0.129592895507813,True,True,False,False
4,1254,14891.2500558422,14.8912500558422,0.674041748046875,0.325958251953125,True,True,False,False
6,1846,21921.2500822047,21.9212500822047,0.804962158203125,0.195037841796875,True,True,False,False
8,2418,28713.7501076766,28.7137501076766,0.874465942382813,0.125534057617188,True,True,False,False
10,2990,35506.2501331484,35.5062501331484,0.895339965820313,0.104660034179688,True,True,False,False
12,3562,42298.7501586203,42.2987501586203,0.895339965820313,0.104660034179688,True,True,False,False
14,4134,49091.2501840922,49.0912501840922,0.895339965820313,0.104660034179688,True,True,False,False
16,4718,56026.2502100984,56.0262502100984,0.865631103515625,0.134368896484375,True,True,False,False
18,5296,62890.0002358375,62.8900002358375,0.88250732421875,0.11749267578125,True,True,False,False
20,5874,69753.7502615766,69.7537502615766,0.675323486328125,0.324676513671875,True,True,False,False
22,6446,76546.2502870484,76.5462502870484,0.675323486328125,0.324676513671875,True,True,False,False
24,7018,83338.7503125203,83.3387503125203,0.675323486328125,0.324676513671875,True,True,False,False
26,7590,90131.2503379922,90.1312503379922,0.675323486328125,0.324676513671875,True,True,False,False
28,8164,96947.5003635531,96.9475003635531,0.675323486328125,0.324676513671875,True,True,False,False
30,8740,103787.500389203,103.787500389203,0.675323486328125,0.324676513671875,True,True,False,False
32,9316,110627.500414853,110.627500414853,0.675323486328125,0.324676513671875,True,True,False,False
34,9892,117467.500440503,117.467500440503,0.675323486328125,0.324676513671875,True,True,False,False
36,10468,124307.500466153,124.307500466153,0.675323486328125,0.324676513671875,True,True,False,False
38,11044,131147.500491803,131.147500491803,0.675323486328125,0.324676513671875,True,True,False,False
40,11620,137987.500517453,137.987500517453,0.675323486328125,0.324676513671875,True,True,False,False
42,12196,144827.500543103,144.827500543103,0.675323486328125,0.324676513671875,True,True,False,False
44,12772,151667.500568753,151.667500568753,0.675323486328125,0.324676513671875,True,True,False,False
46,13348,158507.500594403,158.507500594403,0.675323486328125,0.324676513671875,True,True,False,False
48,13924,165347.500620053,165.347500620053,0.675323486328125,0.324676513671875,True,True,False,False
50,14500,172187.500645703,172.187500645703,0.675323486328125,0.324676513671875,True,True,False,False
52,15076,179027.500671353,179.027500671353,0.675323486328125,0.324676513671875,True,True,False,False
54,15652,185867.500697003,185.867500697003,0.675323486328125,0.324676513671875,True,True,False,False
56,16228,192707.500722653,192.707500722653,0.675323486328125,0.324676513671875,True,True,False,False
58,16804,199547.500748303,199.547500748303,0.675323486328125,0.324676513671875,True,True,False,False
60,17380,206387.500773953,206.387500773953,0.675323486328125,0.324676513671875,True,True,False,False
62,17956,213227.500799603,213.227500799603,0.675323486328125,0.324676513671875,True,True,False,False
64,18532,220067.500825253,220.067500825253,0.675323486328125,0.324676513671875,True,True,False,False
66,19108,226907.500850903,226.907500850903,0.675323486328125,0.324676513671875,True,True,False,False
68,19684,233747.500876553,233.747500876553,0.675323486328125,0.324676513671875,True,True,False,False
70,20260,240587.500902203,240.587500902203,0.675323486328125,0.324676513671875,True,True,False,False
72,20836,247427.500927853,247.427500927853,0.675323486328125,0.324676513671875,True,True,False,False
74,21412,254267.500953503,254.267500953503,0.675323486328125,0.324676513671875,True,True,False,False
76,21988,261107.500979153,261.107500979153,0.675323486328125,0.324676513671875,True,True,False,False
78,22564,267947.501004803,267.947501004803,0.675323486328125,0.324676513671875,True,True,False,False
80,23140,274787.501030453,274.787501030453,0.675323486328125,0.324676513671875,True,True,False,False
82,23716,281627.501056103,281.627501056103,0.675323486328125,0.324676513671875,True,True,False,False
84,24292,288467.501081753,288.467501081753,0.675323486328125,0.324676513671875,True,True,False,False
86,24868,295307.501107403,295.307501107403,0.675323486328125,0.324676513671875,True,True,False,False
88,25444,302147.501133053,302.147501133053,0.675323486328125,0.324676513671875,True,True,False,False
90,26020,308987.501158703,308.987501158703,0.675323486328125,0.324676513671875,True,True,False,False
92,26596,315827.501184353,315.827501184353,0.675323486328125,0.324676513671875,True,True,False,False
94,27172,322667.501210003,322.667501210003,0.675323486328125,0.324676513671875,True,True,False,False
96,27748,329507.501235653,329.507501235653,0.675323486328125,0.324676513671875,True,True,False,False
98,28324,336347.501261303,336.347501261303,0.675323486328125,0.324676513671875,True,True,False,False
100,28900,343187.501286953,343.187501286953,0.675323486328125,0.324676513671875,True,True,False,False
102,29476,350027.501312603,350.027501312603,0.675323486328125,0.324676513671875,True,True,False,False
104,30052,356867.501338253,356.867501338253,0.675323486328125,0.324676513671875,True,True,False,False
106,30628,363707.501363903,363.707501363903,0.675323486328125,0.324676513671875,True,True,False,False
108,31204,370547.501389553,370.547501389553,0.675323486328125,0.324676513671875,True,True,False,False
110,31780,377387.501415203,377.387501415203,0.675323486328125,0.324676513671875,True,True,False,False
112,32356,384227.501440853,384.227501440853,0.675323486328125,0.324676513671875,True,True,False,False
114,32932,391067.501466503,391.067501466503,0.675323486328125,0.324676513671875,True,True,False,False
116,33508,397907.501492153,397.907501492153,0.675323486328125,0.324676513671875,True,True,False,False
118,34084,404747.501517803,404.747501517803,0.675323486328125,0.324676513671875,True,True,False,False
120,34660,411587.501543453,411.587501543453,0.675323486328125,0.324676513671875,True,True,False,False
122,35236,418427.501569103,418.427501569103,0.675323486328125,0.324676513671875,True,True,False,False
124,35812,425267.501594753,425.267501594753,0.675323486328125,0.324676513671875,True,True,False,False
126,36388,432107.501620403,432.107501620403,0.675323486328125,0.324676513671875,True,True,False,False
128,36964,438947.501646053,438.947501646053,0.675323486328125,0.324676513671875,True,True,False,False
130,37540,445787.501671703,445.787501671703,0.675323486328125,0.324676513671875,True,True,False,False
132,38116,452627.501697353,452.627501697353,0.675323486328125,0.324676513671875,True,True,False,False
134,38692,459467.501723003,459.467501723003,0.675323486328125,0.324676513671875,True,True,False,False
136,39268,466307.501748653,466.307501748653,0.675323486328125,0.324676513671875,True,True,False,False
138,39844,473147.501774303,473.147501774303,0.675323486328125,0.324676513671875,True,True,False,False
140,40420,479987.501799953,479.987501799953,0.675323486328125,0.324676513671875,True,True,False,False
142,40996,486827.501825603,486.827501825603,0.675323486328125,0.324676513671875,True,True,False,False
144,41572,493667.501851253,493.667501851253,0.675323486328125,0.324676513671875,True,True,False,False
146,42148,500507.501876903,500.507501876903,0.675323486328125,0.324676513671875,True,True,False,False
148,42724,507347.501902553,507.347501902553,0.675323486328125,0.324676513671875,True,True,False,False
150,43300,514187.501928203,514.187501928203,0.675323486328125,0.324676513671875,True,True,False,False
152,43876,521027.501953853,521.027501953853,0.675323486328125,0.324676513671875,True,True,False,False
154,44452,527867.501979503,527.867501979503,0.675323486328125,0.324676513671875,True,True,False,False
156,45028,534707.502005153,534.707502005153,0.675323486328125,0.324676513671875,True,True,False,False
158,45604,541547.502030803,541.547502030803,0.675323486328125,0.324676513671875,True,True,False,False
160,46180,548387.502056453,548.387502056453,0.675323486328125,0.324676513671875,True,True,False,False
162,46756,555227.502082103,555.227502082103,0.675323486328125,0.324676513671875,True,True,False,False
164,47332,562067.502107753,562.067502107753,0.675323486328125,0.324676513671875,True,True,False,False
