stage,lut,dsp,bram,cycles_per_element,latency_intercept
SW Core,2169,12,0,287.89,74.34
Accel v1,3091,7,2,4.68,74.17
Accel SIMD4,5523,22,20,1.17,94.36
Integrated SoC,26090,32,9,0.74,226.61
