n,core_cycles,core_sum,soc_cycles_sim,soc_sum_sim,speedup
2,650,0.870407,229,1.003448,2.8384279475982535
4,1218,0.674042,229,1.007339,5.318777292576419
6,1816,0.804962,233,1.003128,7.793991416309013
8,2382,0.874466,232,1.000183,10.267241379310345
12,3526,0.89534,235,1.000671,15.004255319148935
16,4682,0.865631,238,1.000122,19.672268907563026
24,6982,0.675323,244,1.00032,28.614754098360656
32,9280,0.675323,250,1.00032,37.12
64,18496,0.675323,274,1.0,67.5036496350365
128,36928,0.675323,322,0.999344,114.6832298136646
