n,soc_cycles_sim,soc_sum_sim,soc_cycles_fpga,soc_sum_fpga,latency_us_fpga
2,229,1.003448,229,1.00344848632813,2.71937501019766
4,229,1.007339,229,1.00733947753906,2.71937501019766
6,233,1.003128,233,1.00312805175781,2.76687501037578
8,232,1.000183,232,1.00018310546875,2.75500001033125
12,235,1.000671,235,1.00067138671875,2.79062501046484
16,238,1.000122,238,1.0001220703125,2.82625001059844
24,244,1.00032,244,1.00032043457031,2.89750001086563
32,250,1.00032,250,1.00032043457031,2.96875001113281
64,274,1.0,274,1.0,3.25375001220156
128,322,0.999344,322,0.999343872070313,3.82375001433906
