n,cycles,latency_ns,latency_us,sum,sum_error,done,idle,ready,busy
2,229,2719.37501019766,2.71937501019766,1.00344848632813,0.003448486328125,True,True,False,False
4,229,2719.37501019766,2.71937501019766,1.00733947753906,0.0073394775390625,True,True,False,False
6,233,2766.87501037578,2.76687501037578,1.00312805175781,0.0031280517578125,True,True,False,False
8,232,2755.00001033125,2.75500001033125,1.00018310546875,0.00018310546875,True,True,False,False
10,236,2802.50001050938,2.80250001050938,1.00059509277344,0.0005950927734375,True,True,False,False
12,235,2790.62501046484,2.79062501046484,1.00067138671875,0.00067138671875,True,True,False,False
14,239,2838.12501064297,2.83812501064297,1.00059509277344,0.0005950927734375,True,True,False,False
16,238,2826.25001059844,2.82625001059844,1.0001220703125,0.0001220703125,True,True,False,False
18,242,2873.75001077656,2.87375001077656,1.00001525878906,0.0000152587890625,True,True,False,False
20,241,2861.87501073203,2.86187501073203,1.00016784667969,0.0001678466796875,True,True,False,False
22,245,2909.37501091016,2.90937501091016,1.00028991699219,0.0002899169921875,True,True,False,False
24,244,2897.50001086563,2.89750001086563,1.00032043457031,0.0003204345703125,True,True,False,False
26,248,2945.00001104375,2.94500001104375,1.00033569335938,0.000335693359375,True,True,False,False
28,247,2933.12501099922,2.93312501099922,1.00032043457031,0.0003204345703125,True,True,False,False
30,251,2980.62501117734,2.98062501117734,1.00030517578125,0.00030517578125,True,True,False,False
32,250,2968.75001113281,2.96875001113281,1.00032043457031,0.0003204345703125,True,True,False,False
34,254,3016.25001131094,3.01625001131094,1.00028991699219,0.0002899169921875,True,True,False,False
36,253,3004.37501126641,3.00437501126641,1.00027465820313,0.000274658203125,True,True,False,False
38,257,3051.87501144453,3.05187501144453,1.00025939941406,0.0002593994140625,True,True,False,False
40,256,3040.0000114,3.0400000114,1.000244140625,0.000244140625,True,True,False,False
42,260,3087.50001157813,3.08750001157813,1.00019836425781,0.0001983642578125,True,True,False,False
44,259,3075.62501153359,3.07562501153359,1.00022888183594,0.0002288818359375,True,True,False,False
46,263,3123.12501171172,3.12312501171172,1.00015258789063,0.000152587890625,True,True,False,False
48,262,3111.25001166719,3.11125001166719,1.00013732910156,0.0001373291015625,True,True,False,False
50,266,3158.75001184531,3.15875001184531,1.0001220703125,0.0001220703125,True,True,False,False
52,265,3146.87501180078,3.14687501180078,1.0001220703125,0.0001220703125,True,True,False,False
54,269,3194.37501197891,3.19437501197891,1.00010681152344,0.0001068115234375,True,True,False,False
56,268,3182.50001193438,3.18250001193438,1.00010681152344,0.0001068115234375,True,True,False,False
58,272,3230.0000121125,3.2300000121125,1.00006103515625,0.00006103515625,True,True,False,False
60,271,3218.12501206797,3.21812501206797,1.00003051757813,0.000030517578125,True,True,False,False
62,275,3265.62501224609,3.26562501224609,1.00001525878906,0.0000152587890625,True,True,False,False
64,274,3253.75001220156,3.25375001220156,1,0,True,True,False,False
66,278,3301.25001237969,3.30125001237969,0.999984741210938,0.0000152587890625,True,True,False,False
68,277,3289.37501233516,3.28937501233516,0.999954223632813,0.0000457763671875,True,True,False,False
70,281,3336.87501251328,3.33687501251328,0.999908447265625,0.000091552734375,True,True,False,False
72,280,3325.00001246875,3.32500001246875,0.999923706054688,0.0000762939453125,True,True,False,False
74,284,3372.50001264688,3.37250001264687,0.999893188476563,0.0001068115234375,True,True,False,False
76,283,3360.62501260234,3.36062501260234,0.999862670898438,0.0001373291015625,True,True,False,False
78,287,3408.12501278047,3.40812501278047,0.999801635742188,0.0001983642578125,True,True,False,False
80,286,3396.25001273594,3.39625001273594,0.999801635742188,0.0001983642578125,True,True,False,False
82,290,3443.75001291406,3.44375001291406,0.999801635742188,0.0001983642578125,True,True,False,False
84,289,3431.87501286953,3.43187501286953,0.999740600585938,0.0002593994140625,True,True,False,False
86,293,3479.37501304766,3.47937501304766,0.999740600585938,0.0002593994140625,True,True,False,False
88,292,3467.50001300313,3.46750001300313,0.999755859375,0.000244140625,True,True,False,False
90,296,3515.00001318125,3.51500001318125,0.999725341796875,0.000274658203125,True,True,False,False
92,295,3503.12501313672,3.50312501313672,0.999725341796875,0.000274658203125,True,True,False,False
94,299,3550.62501331484,3.55062501331484,0.99969482421875,0.00030517578125,True,True,False,False
96,298,3538.75001327031,3.53875001327031,0.999679565429688,0.0003204345703125,True,True,False,False
98,302,3586.25001344844,3.58625001344844,0.999664306640625,0.000335693359375,True,True,False,False
100,301,3574.37501340391,3.57437501340391,0.9996337890625,0.0003662109375,True,True,False,False
102,305,3621.87501358203,3.62187501358203,0.999603271484375,0.000396728515625,True,True,False,False
104,304,3610.0000135375,3.6100000135375,0.999618530273438,0.0003814697265625,True,True,False,False
106,308,3657.50001371563,3.65750001371563,0.999526977539063,0.0004730224609375,True,True,False,False
108,307,3645.62501367109,3.64562501367109,0.999557495117188,0.0004425048828125,True,True,False,False
110,311,3693.12501384922,3.69312501384922,0.999526977539063,0.0004730224609375,True,True,False,False
112,310,3681.25001380469,3.68125001380469,0.99951171875,0.00048828125,True,True,False,False
114,314,3728.75001398281,3.72875001398281,0.999435424804688,0.0005645751953125,True,True,False,False
116,313,3716.87501393828,3.71687501393828,0.999465942382813,0.0005340576171875,True,True,False,False
118,317,3764.37501411641,3.76437501411641,0.999420166015625,0.000579833984375,True,True,False,False
120,316,3752.50001407188,3.75250001407187,0.9993896484375,0.0006103515625,True,True,False,False
122,320,3800.00001425,3.80000001425,0.999343872070313,0.0006561279296875,True,True,False,False
124,319,3788.12501420547,3.78812501420547,0.999374389648438,0.0006256103515625,True,True,False,False
126,323,3835.62501438359,3.83562501438359,0.999374389648438,0.0006256103515625,True,True,False,False
128,322,3823.75001433906,3.82375001433906,0.999343872070313,0.0006561279296875,True,True,False,False
130,326,3871.25001451719,3.87125001451719,0.999282836914063,0.0007171630859375,True,True,False,False
132,325,3859.37501447266,3.85937501447266,0.999313354492188,0.0006866455078125,True,True,False,False
134,329,3906.87501465078,3.90687501465078,0.999267578125,0.000732421875,True,True,False,False
136,328,3895.00001460625,3.89500001460625,0.999267578125,0.000732421875,True,True,False,False
138,332,3942.50001478438,3.94250001478438,0.999237060546875,0.000762939453125,True,True,False,False
140,331,3930.62501473984,3.93062501473984,0.999237060546875,0.000762939453125,True,True,False,False
142,335,3978.12501491797,3.97812501491797,0.999221801757813,0.0007781982421875,True,True,False,False
144,334,3966.25001487344,3.96625001487344,0.999191284179688,0.0008087158203125,True,True,False,False
146,338,4013.75001505156,4.01375001505156,0.9991455078125,0.0008544921875,True,True,False,False
148,337,4001.87501500703,4.00187501500703,0.999130249023438,0.0008697509765625,True,True,False,False
150,341,4049.37501518516,4.04937501518516,0.99908447265625,0.00091552734375,True,True,False,False
152,340,4037.50001514063,4.03750001514063,0.999053955078125,0.000946044921875,True,True,False,False
154,344,4085.00001531875,4.08500001531875,0.999008178710938,0.0009918212890625,True,True,False,False
156,343,4073.12501527422,4.07312501527422,0.998977661132813,0.0010223388671875,True,True,False,False
158,347,4120.62501545234,4.12062501545234,0.998977661132813,0.0010223388671875,True,True,False,False
160,346,4108.75001540781,4.10875001540781,0.998977661132813,0.0010223388671875,True,True,False,False
162,350,4156.25001558594,4.15625001558594,0.998931884765625,0.001068115234375,True,True,False,False
164,349,4144.37501554141,4.14437501554141,0.998916625976563,0.0010833740234375,True,True,False,False
166,353,4191.87501571953,4.19187501571953,0.998870849609375,0.001129150390625,True,True,False,False
168,352,4180.000015675,4.180000015675,0.998886108398438,0.0011138916015625,True,True,False,False
170,356,4227.50001585313,4.22750001585313,0.99884033203125,0.00115966796875,True,True,False,False
172,355,4215.62501580859,4.21562501580859,0.99884033203125,0.00115966796875,True,True,False,False
174,359,4263.12501598672,4.26312501598672,0.998779296875,0.001220703125,True,True,False,False
176,358,4251.25001594219,4.25125001594219,0.998794555664063,0.0012054443359375,True,True,False,False
178,362,4298.75001612031,4.29875001612031,0.998703002929688,0.0012969970703125,True,True,False,False
180,361,4286.87501607578,4.28687501607578,0.998748779296875,0.001251220703125,True,True,False,False
182,365,4334.37501625391,4.33437501625391,0.998687744140625,0.001312255859375,True,True,False,False
184,364,4322.50001620938,4.32250001620938,0.99871826171875,0.00128173828125,True,True,False,False
186,368,4370.0000163875,4.3700000163875,0.9986572265625,0.0013427734375,True,True,False,False
188,367,4358.12501634297,4.35812501634297,0.9986572265625,0.0013427734375,True,True,False,False
190,371,4405.62501652109,4.40562501652109,0.998626708984375,0.001373291015625,True,True,False,False
192,370,4393.75001647656,4.39375001647656,0.998611450195313,0.0013885498046875,True,True,False,False
194,374,4441.25001665469,4.44125001665469,0.998565673828125,0.001434326171875,True,True,False,False
196,373,4429.37501661016,4.42937501661016,0.998550415039063,0.0014495849609375,True,True,False,False
198,377,4476.87501678828,4.47687501678828,0.998504638671875,0.001495361328125,True,True,False,False
200,376,4465.00001674375,4.46500001674375,0.998504638671875,0.001495361328125,True,True,False,False
202,380,4512.50001692188,4.51250001692188,0.99847412109375,0.00152587890625,True,True,False,False
204,379,4500.62501687734,4.50062501687734,0.99847412109375,0.00152587890625,True,True,False,False
206,383,4548.12501705547,4.54812501705547,0.998458862304688,0.0015411376953125,True,True,False,False
208,382,4536.25001701094,4.53625001701094,0.998458862304688,0.0015411376953125,True,True,False,False
210,386,4583.75001718906,4.58375001718906,0.998428344726563,0.0015716552734375,True,True,False,False
212,385,4571.87501714453,4.57187501714453,0.998367309570313,0.0016326904296875,True,True,False,False
214,389,4619.37501732266,4.61937501732266,0.99835205078125,0.00164794921875,True,True,False,False
216,388,4607.50001727813,4.60750001727813,0.998367309570313,0.0016326904296875,True,True,False,False
218,392,4655.00001745625,4.65500001745625,0.998321533203125,0.001678466796875,True,True,False,False
220,391,4643.12501741172,4.64312501741172,0.998306274414063,0.0016937255859375,True,True,False,False
222,395,4690.62501758984,4.69062501758984,0.998275756835938,0.0017242431640625,True,True,False,False
224,394,4678.75001754531,4.67875001754531,0.998260498046875,0.001739501953125,True,True,False,False
226,398,4726.25001772344,4.72625001772344,0.998245239257813,0.0017547607421875,True,True,False,False
228,397,4714.37501767891,4.71437501767891,0.998199462890625,0.001800537109375,True,True,False,False
230,401,4761.87501785703,4.76187501785703,0.9981689453125,0.0018310546875,True,True,False,False
232,400,4750.0000178125,4.7500000178125,0.9981689453125,0.0018310546875,True,True,False,False
234,404,4797.50001799063,4.79750001799062,0.998153686523438,0.0018463134765625,True,True,False,False
236,403,4785.62501794609,4.78562501794609,0.998138427734375,0.001861572265625,True,True,False,False
238,407,4833.12501812422,4.83312501812422,0.998138427734375,0.001861572265625,True,True,False,False
240,406,4821.25001807969,4.82125001807969,0.998123168945313,0.0018768310546875,True,True,False,False
242,410,4868.75001825781,4.86875001825781,0.998062133789063,0.0019378662109375,True,True,False,False
